대피시설명,지번주소,도로명주소,대피시설 인원수,경도,위도
월계역신도뷰레뉴 101동,서울특별시 노원구 월계동 942,서울특별시 노원구 광운로 132,727,127.058677,37.629245
노원문화원,서울특별시 노원구 공릉동 710,서울특별시 노원구 동일로197길 24,207,127.069801,37.628799
청백1단지아파트105동지하,서울특별시 노원구 월계동 774,서울특별시 노원구 초안산로 89,2424,127.051921,37.635832
청백1단지아파트103동지하,서울특별시 노원구 월계동 774,서울특별시 노원구 초안산로 89,2424,127.051921,37.635832
청백1단지102동지하,서울특별시 노원구 월계동 774,서울특별시 노원구 초안산로 89,2424,127.051921,37.635832
노원전화국,서울특별시 노원구 상계동 723,서울특별시 노원구 노해로 502,7221,127.063692,37.654452
온수골 행복발전소,서울특별시 노원구 상계동 673,서울특별시 노원구 노원로 522,726,127.060996,37.66116
상현교회 지하주차장,서울특별시 노원구 중계동 368-3,서울특별시 노원구 한글비석로 290,340,127.078509,37.653225
상계2동 공공복합청사,서울특별시 노원구 상계동 385-1,서울특별시 노원구 상계로 118,286,127.067865,37.657484
광운대 주차장,서울특별시 노원구 월계동 943,서울특별시 노원구 광운로 20,14790,127.058339,37.61932
주공15단지 헬스장,서울특별시 노원구 상계동 624,서울특별시 노원구 동일로227길 26,218,127.054688,37.670191
대주파크빌아파트,서울특별시 노원구 공릉동 751,서울특별시 노원구 섬밭로 52,9612,127.072142,37.621388
하계실버센터,서울특별시 노원구 하계동 357,서울특별시 노원구 한글비석로 4,641,127.064191,37.633109
롯데케슬루나,서울특별시 노원구 월계동 947,서울특별시 노원구 월계로45길 21,22424,127.051275,37.625619
공릉2동 현대성우아파트 지하주차장,서울특별시 노원구 공릉동 741,서울특별시 노원구 공릉로27길 110,16363,127.077471,37.626718
삼성아파트 지하주차장,서울특별시 노원구 중계동 593,서울특별시 노원구 중계로14나길 25,23582,127.084138,37.648532
양지대림1차아파트,서울특별시 노원구 중계동 587,서울특별시 노원구 덕릉로71길 30,9090,127.069763,37.650888
성원아파트1283,서울특별시 노원구 상계동 1283,서울특별시 노원구 노원로34길 34,3030,127.065783,37.660343
은빛1단지아파트,서울특별시 노원구 상계동 1255,서울특별시 노원구 동일로245길 162,5454,127.05422,37.680823
우남푸르미아,서울특별시 노원구 월계동 946,서울특별시 노원구 초안산로2길 91,30303,127.057044,37.632799
주공11단지 헬스장,서울특별시 노원구 상계동 652,서울특별시 노원구 동일로227길 25,14545,127.056041,37.666896
양지대림2차,서울특별시 노원구 중계동 588,서울특별시 노원구 덕릉로73길 28,13333,127.071936,37.652476
동원베네스트,서울특별시 노원구 월계동 940,서울특별시 노원구 월계로53길 21,6480,127.058598,37.632611
사슴3단지아파트,서울특별시 노원구 월계동 320-11,서울특별시 노원구 월계로55길 15,1454,127.059849,37.632398
사슴3단지아파트301동,서울특별시 노원구 월계동 320-11,서울특별시 노원구 월계로55길 15,4615,127.059849,37.632398
건양노브레스,서울특별시 노원구 월계동 938,서울특별시 노원구 화랑로45길 42-18,1515,127.066451,37.617236
중계2.3동 주민센터,서울특별시 노원구 중계동 511-1,서울특별시 노원구 노원로17길 56,484,127.068731,37.642131
노원평생학습관,서울특별시 노원구 중계동 508,서울특별시 노원구 동일로204길 13,363,127.067822,37.639515
수락리버시티4단지,서울특별시 노원구 상계동 1313,서울특별시 노원구 누원로 18,3030,127.052872,37.686215
신동아아파트,서울특별시 노원구 상계동 463,서울특별시 노원구 한글비석로52길 66,969,127.068123,37.667041
주공10단지 헬스장,서울특별시 노원구 상계동 666,서울특별시 노원구 노원로 564,720,127.056123,37.661653
주공14단지이파트,서울특별시 노원구 상계동 626,서울특별시 노원구 동일로228길 23,1454,127.058745,37.669858
