좌표정보(x),좌표정보(y),비상시설위치,시설명건물명
185106.0957,442911.3596,서울특별시 구로구 오류동 343번지,금강수목원아파트
185660.2579,443272.1381,서울특별시 구로구 오류동 342번지,영풍마드레빌아파트
184664.0909,443642.0841,서울특별시 구로구 궁동 230번지,"우신중, 고등학교"
184182.9905,444010.2554,서울특별시 구로구 궁동 242번지,정진학교
206668.3191,460896.9831,서울특별시 노원구 중계동 360번지 7호,세신프라자
206154.0818,460980.9609,서울특별시 노원구 중계동 587번지,양지대림1차아파트
206311.6167,461230.5916,서울특별시 노원구 중계동 588번지,양지대림2차
205922.1512,461261.6572,서울특별시 노원구 상계동 301번지 6호,아미여성병원
205922.7349,461312.3921,서울특별시 노원구 상계동 320번지 11호,꽃동산교회
190231.2201,444204.047,서울특별시 구로구 구로동 108번지 2호,새솔금호아파트
190099.2174,443743.1832,서울특별시 구로구 구로동 100번지 8호,신안타워
202756.4249,459275.8188,서울특별시 강북구 번동 410번지,수유역두산위브아파트1-번1동
202207.2987,458714.5385,서울특별시 강북구 미아동 190번지 2호,현대아파트- 미아동
202625.3862,458270.5996,서울특별시 강북구 미아동 1352번지,미아신구아파트 - 미아동
189827.9394,444611.7273,서울특별시 구로구 구로동 1261번지,일신건영아파트
