"시설번호","대피시설명","지번주소","도로명주소","대피시설 구분","평시활용 유형","대피시설 면적","대피시설 인원수","개방여부","데이터기준일자","제공기관명","제공기관코드","경도","위도","X좌표","Y좌표"
"397","거성아파트","서울특별시 구로구 개봉동 270번지 80호","서울특별시 구로구 개봉로15길 91","공공용","주차장","1322","1600","Y","2020-09-15","서울특별시 구로구 개봉3동주민센터","3160000","126.851081","37.489645","186829.922645","543365.264773"
"398","개봉3동주민센터","서울특별시 구로구 개봉동 360번지 7호","서울특별시 구로구 개봉로3길 47-5","공공용","창고","139","168","N","2020-09-15","서울특별시 구로구 개봉3동주민센터","3160000","126.853827","37.485954","187072.163154","542955.241448"
"399","우성현대아파트","서울특별시 구로구 고척동 76-55","서울특별시 구로구 중앙로1길 18-19","공공용","지하주차장","628","761","Y","2020-09-15","서울특별시 구로구 고척1동주민센터","3160000","126.863149","37.498577","187898.665809","544355.034076"
"400","우성꿈동산","서울특별시 구로구 고척동 321","서울특별시 구로구 경인로47다길 34-7","공공용","지하주차장","2598","3149","Y","2020-09-15","서울특별시 구로구 고척1동주민센터","3160000","126.865958","37.503274","188147.800228","544875.984302"
"401","센츄리아파트","서울특별시 구로구 고척동 320","서울특별시 구로구 중앙로12길 12","공공용","지하주차장","2554","3095","Y","2020-09-15","서울특별시 구로구 고척1동주민센터","3160000","126.861878","37.504959","187787.323183","545063.493839"
"402","일이삼전자타운","서울특별시 구로구 고척동 73-3","서울특별시 구로구 경인로 393-7","공공용","기타","2817","3414","Y","2020-09-15","서울특별시 구로구 고척1동주민센터","3160000","126.863047","37.497408","187889.448546","544225.260024"
"403","삼환로즈빌","서울특별시 구로구 고척동 336","서울특별시 구로구 경인로 343","공공용","지하주차장","22833","27676","Y","2020-09-15","서울특별시 구로구 고척1동주민센터","3160000","126.857433","37.498303","187393.116854","544325.363965"
"404","고척도서관","서울특별시 구로구 고척동9번지14호","서울특별시 구로구 고척로45길 31","공공용","도서관","2770","3351","Y","2020-09-15","서울특별시 구로구 고척2동주민센터","3160000","126.853055","37.505346","187007.245813","545107.608616"
"405","구로구민체육센터","서울특별시 구로구 고척동9번지14호","서울특별시 구로구 고척로45길 39","공공용","체육센터","628","759","Y","2020-09-15","서울특별시 구로구 고척2동주민센터","3160000","126.853278","37.506582","187027.177179","545244.758085"
"406","고척2동 주민센터","서울특별시 구로구 고척동339번지2호","서울특별시 구로구 중앙로15길 22","공공용","주민센터","66","79","Y","2020-09-15","서울특별시 구로구 고척2동주민센터","3160000","126.858605","37.506649","187498.216257","545251.473164"
"2509","을지로3구역지하쇼핑센터","","서울특별시 중구 을지로 지하131","공공용","","14430","17490","Y","2021-06-01","서울특별시 중구청","3010000","126.994078","37.566446","199476.800054","551878.803861"
"407","고척대우아파트","서울특별시 구로구 고척동296번지","서울특별시 구로구 고척로52길 48","공공용","지하주차장","36975","44739","Y","2020-09-15","서울특별시 구로구 고척2동주민센터","3160000","126.855114","37.503399","187188.950529","544891.184316"
"408","현대홈타운아파트","서울특별시 구로구 개봉동 480","서울특별시 구로구 개봉로 20길 158","공공용","주차장","18182","22000","Y","2020-09-15","서울특별시 구로구 개봉2동주민센터","3160000","126.860737","37.492042","187684.332861","543630.034406"
"409","현대아파트","서울특별시 구로구 개봉동 481","서울특별시 구로구 개봉로 20길 6","공공용","주차장","56199","68000","Y","2020-09-15","서울특별시 구로구 개봉2동주민센터","3160000","126.859308","37.492880","187558.071862","543723.223902"
"410","영화아파트","서울특별시 구로구 개봉동 475","서울특별시 구로구 경인로40길 11","공공용","주차장","2975","3600","Y","2020-09-15","서울특별시 구로구 개봉1동주민센터","3160000","126.859423","37.496057","187568.724064","544075.764593"
"411","한국컨벤션웨딩홀","서울특별시 구로구 개봉동 166-2","서울특별시 구로구 경인로 314","공공용","주차장","1505","1821","Y","2020-09-15","서울특별시 구로구 개봉1동주민센터","3160000","126.855224","37.496823","187197.571998","544161.384535"
"412","건영아파트","서울특별시 구로구 개봉동 47-1","서울특별시 구로구 고척로21나길 85-6","공공용","주차장","760","920","Y","2020-09-15","서울특별시 구로구 개봉1동주민센터","3160000","126.840792","37.501340","185922.208777","544664.780876"
"413","창동아파트","서울특별시 구로구 개봉동 20-1","서울특별시 구로구 고척로21나길 48-80","공공용","기타","1388","1680","Y","2020-09-15","서울특별시 구로구 개봉1동주민센터","3160000","126.842359","37.504006","186061.220483","544960.414051"
"414","개봉2동주민센터","서울특별시 구로구 개봉동 261-6","서울특별시 구로구 개봉로16가길 17","공공용","동주민센터","142","172","Y","2020-09-15","서울특별시 구로구 개봉2동주민센터","3160000","126.856533","37.490828","187312.311789","543495.825734"
"415","중소기업은행","서울특별시 구로구 개봉동 403-45","서울특별시 구로구 개봉로 60","공공용","주차장","331","400","Y","2020-09-15","서울특별시 구로구 개봉2동주민센터","3160000","126.856271","37.491113","187289.189678","543527.435757"
"416","동인아파트","서울특별시 구로구 개봉동 335-1","서울특별시 구로구 서해안로34가길 22","공공용","주차장","594","720","Y","2020-09-15","서울특별시 구로구 개봉2동주민센터","3160000","126.849081","37.493872","186653.799302","543834.683983"
"417","상우아파트","서울특별시 구로구 개봉동 473","서울특별시 구로구 남부순환로97길 50","공공용","주차장","1802","2180","Y","2020-09-15","서울특별시 구로구 개봉2동주민센터","3160000","126.860510","37.493709","187664.461508","543815.048467"
"418","두산아파트","서울특별시 구로구 개봉동 472","서울특별시 구로구 남부순환로95길 88","공공용","주차장","13425","16244","Y","2020-09-15","서울특별시 구로구 개봉2동주민센터","3160000","126.851731","37.495325","186888.391305","543995.604587"
"419","삼호아파트","서울특별시 구로구 개봉동 471","서울특별시 구로구 남부순환로95길 16","공공용","주차장","3524","4264","Y","2020-09-15","서울특별시 구로구 개봉2동주민센터","3160000","126.857308","37.494568","187381.470300","543910.804038"
"420","삼환아파트","서울특별시 구로구 개봉동 470","서울특별시 구로구 남부순환로95길 54","공공용","주차장","12430","15040","Y","2020-09-15","서울특별시 구로구 개봉2동주민센터","3160000","126.854711","37.495035","187151.866051","543962.974122"
"421","진로아파트","서울특별시 구로구 개봉동 479","서울특별시 구로구 개봉로 15길 84-15","공공용","주차장","1398","1692","Y","2020-09-15","서울특별시 구로구 개봉2동주민센터","3160000","126.850857","37.490481","186810.268502","543458.124493"
"422","새솔금호아파트","서울특별시 구로구 구로동 108번지 2호","서울특별시 구로구 공원로 35","공공용","아파트주차장","8141","9850","Y","2020-09-15","서울특별시 구로구 구로5동주민센터","3160000","126.890521","37.500162","190319.281333","544527.734692"
"423","신안타워","서울특별시 구로구 구로동 100번지 8호","서울특별시 구로구 구로중앙로 68","공공용","아파트주차장","3713","4492","Y","2020-09-15","서울특별시 구로구 구로5동주민센터","3160000","126.888807","37.495860","190167.191732","544050.483756"
"424","롯데아파트","서울특별시 구로구 구로동 1263번지","서울특별시 구로구 새말로 31","공공용","아파트주차장","52800","63888","Y","2020-09-15","서울특별시 구로구 구로5동주민센터","3160000","126.884825","37.504381","189816.183887","544996.593873"
"425","신도림태영타운아파트","서울특별시 구로구 구로동 1267번지","서울특별시 구로구 새말로 93","공공용","아파트주차장","79200","95832","Y","2020-09-15","서울특별시 구로구 구로5동주민센터","3160000","126.889103","37.506234","190194.732641","545201.844253"
"426","일신건영아파트","서울특별시 구로구 구로동 1261번지","서울특별시 구로구 새말로9길 22","공공용","아파트주차장","3960","4791","Y","2020-09-15","서울특별시 구로구 구로5동주민센터","3160000","126.885745","37.503619","189897.436751","544911.922480"
